"Country","ElectrAccess","CookAccess","AgriLand","BirthRate","CO2","CompEdu","DeathRate","FoodExports","Telephone","Internet","PopGrowth","BusinessTime","AdolFertRate","Precipitation","CorControl","EmployerPerc","FertRate","GDPperc","GDPdollars","Inflation","WaterStress","LifeExp","MortRate","PolStab","PopPerc14","VoiceAcc","WomBusiness"
"Afghanistan",93.43087769,31.1,58.27698818,36.927,0.299082634,9,6.981,65.89656176,0.348337974,16.8,2.885207973,8.5,88.431,327,-1.502880573,1.85747621,5.002,-1.688576593,492.0906323,0.626149149,54.75701944,63.081,47.8,-2.753262043,44.7084446,-1.007052064,38.125
"Albania",100,80.2,42.84967153,10.517,1.85464154,9,8.308,9.074720399,8.641983891,65.4,-0.246732042,4.5,15.58,1485,-0.545840263,3.294395876,1.44,4.276311551,5287.660801,2.028059631,5.757211539,79.184,8.3,0.366642982,17.08308235,0.188694432,91.25
"Angola",45.29,48.7,36.7305687,40.236,0.755827619,6,7.99,0.351065617,0.549531772,29,3.464456984,36,142.575,1010,-1.199250937,4.733754648,5.519,-4.676669584,2540.508878,19.63059436,1.871883289,62.144,52,-0.347750902,45.54594455,-0.903365195,73.125
"Armenia",99.9,98,58.914647,13.307,2.013779381,12,9.75,30.16770907,16.84901802,68.24505226,-0.540251082,4,19.533,562,-0.40889135,0.618974746,1.572,5.769882149,4391.92327,2.52023382,54.75085737,75.064,11.1,-0.451120526,20.21824346,-0.130894393,85
"Australia",100,100,46.65809501,12.6,15.86571352,10,6.3,11.84145555,32.8272729,90,1.49599671,2.5,9.983,534,1.767377615,5.451183534,1.74,1.378345353,57273.52048,1.911400944,4.957780458,82.74878049,3.2,0.970811963,18.78015455,1.393920898,96.875
"Austria",100,100,32.14772176,9.7,7.141140211,13,9.5,7.469474913,42.25259804,87.47913723,0.487071925,21,5.855,1110,1.568366051,4.56394275,1.47,1.92771306,51466.55656,1.998379814,9.643547941,81.69268293,2.9,0.884671748,14.4324212,1.39915669,94.375
"Azerbaijan",100,97.8,57.8253926,14,3.292641249,10,5.8,3.596068574,16.56147113,79.79999549,0.866316916,3.5,45.088,447,-0.852769494,13.75146881,1.73,0.624486168,4739.794312,2.268546904,53.72930007,72.76,19.2,-0.711426675,24.54686749,-1.508211613,78.75
"Bahrain",100,100,10.41131105,13.818,20.73796173,9,1.992,3.419108765,18.47143222,98.64467258,2.072370164,8.3,11.627,83,-0.176231503,1.658134314,1.93,0.016786109,25415.84662,2.08766938,133.7068966,79.857,6.1,-0.846307814,19.92910832,-1.41806531,40
"Barbados",100,100,23.25581395,10.913,4.541381825,11,8.927,32.78131773,45.78065559,82.48,0.179288798,16,42.154,1422,1.371912479,0.742406023,1.619,-1.049283021,18271.25225,3.673814104,87.5,77.067,12.1,0.900504649,17.86237189,1.102098107,76.875
"Belarus",99.34876251,99.5,41.64449699,9.9,6.279579416,9,12.7,14.96390929,46.29737239,79.12988669,-0.213824207,9,11.596,618,-0.154802009,0.52770549,1.448,3.37043437,6360.053101,4.872302206,4.581410679,74.17560976,2.5,0.353457749,16.77886821,-1.363152385,75.625
"Belgium",100,100,44.71598415,10.4,8.184366679,12,9.7,10.90146137,35.87220651,88.647343,0.455184695,4.5,5.717,847,1.429420352,3.789841217,1.62,1.330652227,47544.98115,2.053164999,51.28992629,81.59512195,3.4,0.393630445,16.92826426,1.330212235,100
"Belize",91.72,83.1,7.540552389,21.015,1.648929766,8,4.74,87.0866824,5.462145284,49.8,1.948634454,48,72.062,1705,-0.169436514,5.457228077,2.345,-0.894543697,6001.024262,0.269982623,1.260294485,73.703,11.2,-0.002222205,29.94469542,0.431013256,79.375
"Benin",39.0094223,4.8,35.03015254,38.186,0.636814494,6,9.428,37.2550158,0.406241419,19,2.922392187,8.5,95.481,1039,-0.391388416,1.035767904,5.199,3.624262545,1194.438214,0.644803622,0.975243811,60.14,59.5,-0.147074759,42.95190472,0.248301506,74.375
"Bolivia",92.8,85.6,34.96409056,22.634,1.88518817,14,7.124,15.43697131,6.133943545,44.2861422,1.487474197,39.5,66.461,1146,-0.68817246,4.934544668,2.73,2.684797339,3471.006951,2.272059872,1.177001127,67.748,22.6,-0.28669095,32.04667825,-0.059398498,88.75
"Brazil",99.7,96.1,28.41562848,14.133,2.064261479,14,6.516,34.63881499,18.22931211,70.43428254,0.793768154,20.1,53.436,1761,-0.480606288,4.713915876,1.749,0.978938493,9121.020995,3.664850284,1.464112726,75.109,13.5,-0.459640145,21.43982493,0.37796551,81.875
"Brunei Darussalam",100,100,2.542694497,15.05,17.36231043,9,4.7,0.087582029,19.01748666,95,0.924880805,5.5,10.025,2722,0.761487544,2.767324668,1.848,-0.868860057,31240.50179,1.025051793,3.466465712,74.712,9.4,1.235813618,23.23069856,-0.857715189,53.125
"Burkina Faso",14.4,9.8,45.36915205,37.294,0.25242828,10,8.809,14.54049227,0.376408781,8.5,2.768681163,13,115.166,748,-0.131240994,2.194140048,5.069,3.693513328,779.2027686,1.955943027,7.820267686,60.047,55.6,-1.060256481,44.99130155,-0.061017469,82.5
"Cabo Verde",90.19692993,78.6,19.60297767,17.821,1.041137811,10,5.275,83.45655857,10.97335093,59.5,1.099860052,18,57.389,228,0.75564152,4.355740347,1.964,2.57258285,3860.454808,1.256995667,8.433333333,75.733,13.7,0.833078504,27.8648603,0.975099623,86.25
"Cameroon",62.2,22.6,20.62575363,36.716,0.388794448,6,8.379,19.61615666,3.597966674,29.7,2.763737638,13.5,116.168,1604,-1.162674546,3.115274384,4.694,1.121795214,1594.06011,1.068858113,1.560430108,61.18,51.5,-1.401759028,42.96634534,-1.129023314,60
"Canada",100,100,6.456819908,10.1,15.63665416,10,7.7,11.92683044,37.37519932,94.64,1.412455869,1.5,7.094,537,1.789857745,4.625822519,1.51,1.301965104,46548.63841,2.268225672,3.733573635,81.84390244,4.6,0.963774383,16.08694786,1.501851201,97.5
"Central African Republic",14.64395523,0.7,7.879867733,41.831,0.044967594,10,11.23,0.208240815,0.043044057,5.1,1.943058623,22,162.886,1343,-1.233191371,1.176469234,6.037,1.792220305,435.9322966,1.61215687,0.335648148,54.369,80.3,-2.172087193,48.58028217,-1.20345211,77.5
"Chile",100,100,15.73330401,11.94,4.629657059,12,6.327,24.60045908,16.02652201,84.9,1.795962799,6,24.292,1522,0.958148718,4.261589697,1.564,2.139078181,15820.03336,2.434889814,8.982121089,80.133,6.3,0.412628829,19.10261987,1.025870562,77.5
"China",100,77.6,55.54273924,10.86,7.533193134,9,7.08,2.910565147,13.55508705,59.2,0.467672053,8.6,13.325,645,-0.286587775,4.093470052,1.554,6.251700556,9905.406383,2.0747904,43.30275631,77.744,6.4,-0.298641503,18.39055059,-1.459927917,75.625
"Colombia",98.5,91.6,39.70076611,14.841,1.610391517,12,5.311,13.67001311,14.15179195,64.12637682,1.895586751,11,63.885,3240,-0.339970648,4.086187383,1.787,0.638439616,6782.03792,3.240569329,4.063461168,76.748,12.2,-0.806959629,22.81965985,0.172091424,81.875
"Costa Rica",99.7,95.2,34.90990991,13.562,1.620121197,13,5.276,41.09451554,15.23260303,73.47972844,0.934615301,23,51.147,2926,0.501532555,3.696321506,1.709,1.661308308,12383.14995,2.221114615,5.211023891,79.484,7.4,0.453240991,21.56045132,1.119108796,80
"Cote d'Ivoire",67.14865875,27.3,72.79874214,35.007,0.399890358,10,8.961,56.52229148,1.186154163,37.54653613,2.566474934,6,109.253,1348,-0.525697172,2.47836029,4.611,2.186608497,2295.540335,0.359409031,5.087565674,58.849,61,-0.898008049,42.76144158,-0.248956934,78.125
"Croatia",100,100,26.51704667,9,4.020066328,8,12.9,13.82103046,32.58422996,75.29462599,-0.893486928,22.5,9.041,1113,0.046951234,4.723000618,1.47,3.743125706,15040.03692,1.50012501,1.496220543,78.07073171,4,0.793498814,14.25344641,0.44627142,93.75
"Czechia",100,100,45.62880456,10.7,9.66462802,10,10.6,4.123912368,14.35216339,80.68816754,0.334427262,24.5,10.59,677,0.510070622,3.127221484,1.71,2.875468527,23424.48046,2.149494949,24.17883212,79.02926829,2.5,1.02620995,15.7260608,0.822482824,93.75
"Denmark",100,100,65.8125,10.6,5.718912959,10,9.5,17.9220348,19.45495212,97.31920437,0.495838926,3.5,2.495,703,2.15647912,3.210800581,1.73,1.485085157,61591.92887,0.813609467,29.90310979,80.95365854,3.3,0.931788921,16.51223077,1.573501945,100
"Dominican Republic",98.9,90.5,50.27944525,19.762,2.356223766,15,6.06,22.51153313,11.87296863,74.82204836,1.10483768,16.5,83.874,1410,-0.830727458,3.272975642,2.381,5.807049827,7947.159331,3.56443426,39.55331412,73.232,28.6,0.012199945,28.16427857,0.125113517,86.25
"Ecuador",98.7,94.6,21.9358995,17.658,2.366829826,15,4.911,46.38013801,13.87298133,57.5,1.890909307,48.5,71.383,2274,-0.629149854,3.004370364,2.133,-0.608002129,6321.349401,-0.224103246,6.782352941,77.094,12,-0.094810791,27.46796975,0.0011285,89.375
